
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.4)

2024-03-25T22:32:44.691+03:00  INFO 23628 --- [severstal] [           main] r.m.severstal.SeverstalApplication       : Starting SeverstalApplication using Java 22 with PID 23628 (D:\repos\hackathon\severstal\target\classes started by rE in D:\repos\hackathon\severstal)
2024-03-25T22:32:44.692+03:00 DEBUG 23628 --- [severstal] [           main] r.m.severstal.SeverstalApplication       : Running with Spring Boot v3.2.4, Spring v6.1.5
2024-03-25T22:33:09.702+03:00  INFO 23628 --- [severstal] [ool-4-thread-10] Tender Pro Worker                        : Parsing page#96: https://www.tender.pro/api/landings/etp?page=96&tender_name=Труба&
2024-03-25T22:33:09.702+03:00  INFO 23628 --- [severstal] [pool-4-thread-5] Tender Pro Worker                        : Parsing page#98: https://www.tender.pro/api/landings/etp?page=98&tender_name=Труба&
2024-03-25T22:33:11.860+03:00  INFO 23628 --- [severstal] [pool-4-thread-1] Tender Pro Worker                        : Parsing page#104: https://www.tender.pro/api/landings/etp?page=104&tender_name=Труба&
2024-03-25T22:33:11.860+03:00  INFO 23628 --- [severstal] [pool-4-thread-3] Tender Pro Worker                        : Parsing page#103: https://www.tender.pro/api/landings/etp?page=103&tender_name=Труба&
2024-03-25T22:33:11.860+03:00  INFO 23628 --- [severstal] [pool-4-thread-2] Tender Pro Worker                        : Parsing page#106: https://www.tender.pro/api/landings/etp?page=106&tender_name=Труба&
2024-03-25T22:33:11.860+03:00  INFO 23628 --- [severstal] [pool-4-thread-9] Tender Pro Worker                        : Parsing page#105: https://www.tender.pro/api/landings/etp?page=105&tender_name=Труба&
2024-03-25T22:33:11.860+03:00  INFO 23628 --- [severstal] [pool-4-thread-4] Tender Pro Worker                        : Parsing page#100: https://www.tender.pro/api/landings/etp?page=100&tender_name=Труба&
2024-03-25T22:33:11.860+03:00  INFO 23628 --- [severstal] [pool-4-thread-6] Tender Pro Worker                        : Parsing page#107: https://www.tender.pro/api/landings/etp?page=107&tender_name=Труба&
2024-03-25T22:33:11.860+03:00  INFO 23628 --- [severstal] [ool-4-thread-10] Tender Pro Worker                        : Parsing page#102: https://www.tender.pro/api/landings/etp?page=102&tender_name=Труба&
2024-03-25T22:33:11.860+03:00  INFO 23628 --- [severstal] [pool-4-thread-7] Tender Pro Worker                        : Parsing page#101: https://www.tender.pro/api/landings/etp?page=101&tender_name=Труба&
